tradingsymbol,name
HANGSENG BEES-NAV,HANGSENG BEES-NAV
INDIA VIX,INDIA VIX
GOLDSTAR-SM,GOLDSTAR POWER
AARTIIND,AARTI INDUSTRIES
ABB,ABB INDIA
STYRENIX,STYRENIX PERFORMANCE
ACC,ACC
ADANIENT,ADANI ENTERPRISES
GATECHDVR-BE,GACM TECHNOLOGIES
ADORWELD,ADOR WELDING
AEGISLOG,AEGIS LOGISTICS
HAPPSTMNDS,HAPPIEST MINDS TECHNO
ALEMBICLTD,ALEMBIC
BETA-SM,BETA DRUGS
CMMIPL-ST,CMM INFRAPROJECTS
ARE&M,AMARA RAJA ENERGY MOB
SHAREINDIA,SHARE IND. SECURITIES
OMFURN-SM,OMFURN INDIA
ROUTE,ROUTE MOBILE
ANDHRSUGAR,ANDHRA SUGARS
SRPL-BE,SHREE RAM PROTEINS
GODREJAGRO,GODREJ AGROVET
APCOTEXIND,APCOTEX INDUSTRIES LIMITE
APOLLOHOSP,APOLLO HOSPITALS ENTER. L
MILTON-SM,MILTON INDUSTRIES
APOLLOTYRE,APOLLO TYRES
ANDHRAPAP,ANDHRA PAPER
ARENTERP,RAJDARSHAN INDUSTRIES
TCPLPACK,TCPL PACKAGING
ARVIND,ARVIND
MASFIN,MAS FINANCIAL SERV
UNIDT,UNITED DRILLING TOOLS
ASHAPURMIN,ASHAPURA MINECHEM
ASHIMASYN,ASHIMA
ASHOKLEY,ASHOK LEYLAND
IEX,INDIAN ENERGY EXC
ASIANPAINT,ASIAN PAINTS
AAKASH-BE,AAKASH EXPLORATION SER L
ADL,ARCHIDPLY DECOR
NIRAJ,NIRAJ CEMENT STRUC
ATUL,ATUL
CHEMCON,CHEMCON SPECIAL CHEM
AUROPHARMA,AUROBINDO PHARMA
GICRE,GENERAL INS CORP OF INDIA
AUTOAXLES,AUTOMOTIVE AXLES
BAJAJHLDNG,BAJAJ HOLDINGS & INVS
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT
TIINDIA,TUBE INVEST OF INDIA
BAJFINANCE,BAJAJ FINANCE
ANGELONE,ANGEL ONE
VALIANTORG,VALIANT ORGANICS
BALKRISIND,BALKRISHNA IND.
BALMLAWRIE,BALMER LAWRIE & CO
BALRAMCHIN,BALRAMPUR CHINI MILLS
CAMS,COMPUTER AGE MNGT SER
BANARBEADS,BANARAS BEADS
BANARISUG,BANNARI AMMAN SUGARS
NAM-INDIA,NIPPON L I A M
ROML-BE,RAJ OIL MILLS
BASF,BASF INDIA
BATAINDIA,BATA INDIA
BBTC,BOMBAY BURMAH TRADING COR
SINTERCOM,SINTERCOM INDIA
BEL,BHARAT ELECTRONICS
MAHLOG,MAHINDRA LOGISTIC
GLOBE,GLOBE TEXTILES (I)
BEML,BEML
NIACL,THE NEW INDIA ASSU CO
BERGEPAINT,BERGER PAINTS (I)
BEPL,BHANSALI ENG. POLYMERS LT
BHARATFORG,BHARAT FORGE
KHADIM,KHADIM INDIA
BHARATGEAR,BHARAT GEARS
IFGLEXPOR,IFGL REFRACTORIES
BHEL,BHEL
5PAISA,5PAISA CAPITAL
HDFCLIFE,HDFC LIFE INS CO
OSWALGREEN,OSWAL GREENTECH
3MINDIA,3M INDIA
BIRLACABLE,BIRLA CABLE
BIRLACORPN,BIRLA CORPORATION
AISL-ST,ANI INTEGRATED SERV
ICEMAKE,ICE MAKE REFRIGERAT
BLUEDART,BLUE DART EXPRESS
PULZ-SM,PULZ ELECTRONICS
MAZDOCK,MAZAGON DOCK SHIPBUIL
BOMDYEING,BOMBAY DYEING & MFG. CO L
ICICIB22,ICICIPRAMC - BHARATIWIN
BPCL,BHARAT PETROLEUM CORP  LT
UTIAMC,UTI ASSET MNGMT CO
BPL,BPL
BRITANNIA,BRITANNIA INDUSTRIES
RELINFRA,RELIANCE INFRASTRUCTU
BSL,BSL
FELIX-SM,FELIX INDUSTRIES
LIKHITHA,LIKHITHA INFRASTRUC
CANFINHOME,CAN FIN HOMES
GRAPHITE,GRAPHITE INDIA
CARBORUNIV,CARBORUNDUM UNIVERSAL
CENTENKA,CENTURY ENKA
CENTURYTEX,CENTURY TEXTILES
CESC,CESC
IGARASHI,IGARASHI MOTORS INDIA
CHAMBLFERT,CHAMBAL FERTILIZERS
DNAMEDIA,DILIGENT MEDIA CORP
SUULD-BE,SUUMAYA INDUSTRIES
INNOVANA-SM,INNOVANA THINKLABS
EXIDEIND,EXIDE INDUSTRIES
CHOLAFIN,CHOLAMANDALAM IN & FIN CO
CIPLA,CIPLA
HEMIPROP,HEMISPHERE PROP IND
DICIND,DIC INDIA
SHALBY,SHALBY
HEUBACHIND,HEUBACH COLORANTS IND
SHRADHA-BE,SHRADHA INFRAPROJECTS
