symbol,date_of_listing
AARTIIND,08-Feb-1995
ABB,08-Feb-1995
STYRENIX,29-Mar-1995
ACC,20-Nov-1996
ADANIENT,04-Jun-1997
ADORWELD,10-May-1995
AEGISLOG,03-Apr-1996
HAPPSTMNDS,17-Sep-2020
ALEMBICLTD,22-Sep-1999
SHAREINDIA,21-Sep-2020
ROUTE,21-Sep-2020
ANDHRSUGAR,01-Nov-1995
GODREJAGRO,16-Oct-2017
APCOTEXIND,06-Sep-1995
APOLLOHOSP,10-Jan-1996
APOLLOTYRE,31-May-1995
ANDHRAPAP,13-May-2004
ARENTERP,18-Oct-1995
TCPLPACK,17-Oct-2017
ARVIND,08-Feb-1995
MASFIN,18-Oct-2017
UNIDT,25-Sep-2020
ASHAPURMIN,20-Sep-1995
ASHIMASYN,27-Jul-1995
ASHOKLEY,25-May-1995
IEX,23-Oct-2017
ASIANPAINT,31-May-1995
ADL,01-Oct-2020
NIRAJ,01-Oct-2020
ATUL,06-May-1998
CHEMCON,01-Oct-2020
AUROPHARMA,19-Jul-2000
GICRE,25-Oct-2017
AUTOAXLES,29-May-2003
BAJAJHLDNG,15-Mar-1995
BAJAJHIND,10-May-1995
TIINDIA,02-Nov-2017
BAJFINANCE,01-Apr-2003
ANGELONE,05-Oct-2020
VALIANTORG,23-Jul-2021
BALKRISIND,27-Jan-2006
BALMLAWRIE,06-Jul-1995
BALRAMCHIN,08-Feb-1995
CAMS,07-May-2021
BANARBEADS,07-Jul-1995
BANARISUG,28-May-2003
NAM-INDIA,06-Nov-2017
BASF,17-May-1995
BATAINDIA,18-Jun-2003
BBTC,03-Apr-1996
SINTERCOM,07-Oct-2020
BEL,19-Jul-2000
MAHLOG,10-Nov-2017
GLOBE,07-Oct-2020
BEML,05-Nov-2003
NIACL,13-Nov-2017
BERGEPAINT,24-Nov-1999
BEPL,21-Mar-2005
BHARATFORG,04-Apr-2003
KHADIM,14-Nov-2017
BHARATGEAR,03-Apr-1996
IFGLEXPOR,14-Nov-2017
BHEL,11-Nov-2003
5PAISA,16-Nov-2017
HDFCLIFE,17-Nov-2017
OSWALGREEN,28-Aug-1996
3MINDIA,13-Aug-2004
BIRLACABLE,06-Dec-1995
BIRLACORPN,12-Apr-1995
ICEMAKE,12-Oct-2020
BLUEDART,12-Dec-2002
MAZDOCK,12-Oct-2020
BOMDYEING,26-Apr-1995
ICICIB22,28-Nov-2017
BPCL,13-Sep-1995
UTIAMC,12-Oct-2020
BPL,14-Jun-1995
BRITANNIA,05-Nov-1998
RELINFRA,08-Feb-1995
BSL,27-Jul-1995
LIKHITHA,15-Oct-2020
CANFINHOME,10-May-1995
GRAPHITE,07-Feb-2003
CARBORUNIV,03-Apr-1996
CENTENKA,10-May-1995
CENTURYTEX,27-Jun-2003
CESC,08-Feb-1995
IGARASHI,09-Oct-2003
CHAMBLFERT,14-Jun-1995
DNAMEDIA,11-Dec-2017
EXIDEIND,17-Jun-2003
CHOLAFIN,15-May-1996
CIPLA,08-Feb-1995
HEMIPROP,22-Oct-2020
DICIND,30-Aug-1995
SHALBY,15-Dec-2017
HEUBACHIND,14-Jun-1995
SBIETFPB,22-Oct-2020
COROMANDEL,31-May-1995
SBIETFIT,22-Oct-2020
COSMOFIRST,25-May-1995
CRISIL,28-Jun-1995
CGPOWER,01-Mar-1995
DABUR,28-Apr-1999
DALMIASUG,17-Jan-1996
SHIVATEX,26-Dec-2017
DCM,29-Mar-1995
BSHSL,28-Oct-2020
DCMSHRIRAM,12-Apr-1995
DCW,25-May-1995
DEEPAKFERT,17-Jan-2003
DHAMPURSUG,29-Mar-1995
DRREDDY,30-May-2003
KHAICHEM,30-Oct-2020
EICHERMOT,07-Sep-2004
EQUITASBNK,02-Nov-2020
EIDPARRY,10-May-1995
EIHOTEL,08-Feb-1995
ORCHPHARMA,02-Nov-2020
ELECTCAST,20-Jun-2003
DPABHUSHAN,03-Nov-2020
ELGIEQUIP,22-Nov-1995
PGHL,24-Apr-1996
ESABINDIA,01-Nov-1995
ESCORTS,01-Mar-1995
SUBEXLTD,05-Nov-2020
EPL,11-Feb-2002
EVERESTIND,29-Mar-1995
EUROTEXIND,31-Jan-1996
FACT,12-Apr-1995
SCHAEFFLER,29-Nov-2000
FEDERALBNK,08-Feb-1995
AARON,06-Nov-2020
FINCABLES,15-Feb-1995
FINPIPE,08-Feb-1995
AXISBNKETF,09-Nov-2020
UFLEX,23-Aug-1995
FOSECOIND,05-May-2003
ZENSARTECH,09-Jul-2003
GABRIEL,20-Apr-2005
GARFIBRES,03-Apr-2007
DANGEE,13-Nov-2020
GHCL,31-Jul-2003
APOLLO,22-Jan-2018
GICHSGFIN,08-May-1996
GINNIFILA,10-May-1995
SDL24BEES,18-Nov-2020
GIPCL,08-Feb-1995
GLAXO,15-Dec-2000
NEWGEN,29-Jan-2018
GMBREW,23-Aug-1995
GNFC,17-May-1995
GODFRYPHLP,24-Jul-1996
AMBER,30-Jan-2018
GLAND,20-Nov-2020
FMGOETZE,08-Feb-1995
KANSAINER,15-Sep-2003
ESG,24-Nov-2020
DELTAMAGNT,18-Oct-1995
GRASIM,10-May-1995
GREAVESCOT,09-Sep-2004
GSFC,06-Sep-1995
CASTROLIND,14-Mar-2014
GUJALKALI,07-Aug-1997
AMBUJACEM,18-Feb-1998
GFLLIMITED,25-May-1995
HARRMALAYA,08-Feb-1995
GALAXYSURF,08-Feb-2018
MARINE,02-Dec-2020
HDFCBANK,08-Nov-1995
HEG,10-May-1995
SDBL,18-Mar-2014
HEROMOTOCO,11-Apr-2003
HIMATSEIDE,08-Feb-1995
HINDALCO,08-Jan-1997
HINDCOMPOS,08-May-1996
HCC,01-Apr-2003
HINDUNILVR,06-Jul-1995
HINDOILEXP,23-Sep-2003
HINDPETRO,17-Jun-1998
AGI,31-May-2000
HINDZINC,21-Nov-2006
SANOFI,19-May-2003
