symbol,date_of_listing
IFBIND,29-Mar-1995
IFCI,26-Apr-1995
RBA,14-Dec-2020
SHIVAMILLS,26-Feb-2018
MOGSEC,16-Dec-2020
ASTERDM,26-Feb-2018
INDHOTEL,03-Jul-1996
INDIACEM,31-May-2000
INDIAGLYCO,01-Jul-2005
INDIANHUME,30-Aug-1995
RVHL,18-Dec-2020
GMMPFAUDLR,05-Mar-2018
GILLETTE,30-Jul-2003
TARC,18-Dec-2020
MGEL,23-Dec-2020
INFY,08-Feb-1995
INGERRAND,15-Apr-1999
GODHA,24-Dec-2020
FAIRCHEMOR,24-Dec-2020
TATAINVEST,24-Jun-1998
IOC,24-Jul-1996
LINDEINDIA,16-Jun-1999
BECTORFOOD,24-Dec-2020
IONEXCHANG,22-Feb-2022
IPCALAB,08-Feb-1995
ITC,23-Aug-1995
ATFL,06-Dec-2002
HGINFRA,09-Mar-2018
ITI,15-Sep-2003
IVP,11-Oct-2000
JAYBARMARU,03-Jan-1996
JAYSREETEA,15-Feb-1995
JBCHEPHARM,29-Apr-2003
JINDALPOLY,21-Jan-2002
KANPRPLA,01-Jan-2021
AWHCL,01-Jan-2021
KABRAEXTRU,06-Sep-1995
KAJARIACER,01-Jun-2004
KAKATCEM,13-Dec-1995
KPIL,15-Dec-2000
KAMATHOTEL,29-May-1996
KANORICHEM,08-Feb-1995
KARURVYSYA,26-Jul-2000
KCP,09-Apr-1997
KESORAMIND,06-Sep-1995
CARYSIL,14-Jan-2021
CUMMINSIND,29-Mar-1995
KOPRAN,09-Jun-1999
KOTAKBANK,20-Dec-1995
WEALTH,20-Jan-2021
LIQUIDETF,20-Mar-2018
KREBSBIO,19-Apr-2000
KSB,08-Feb-1995
TRENT,07-Jun-2004
LAXMIMACH,29-Mar-1995
LIBERTSHOE,27-Sep-1995
LICHSGFIN,29-Jul-1998
LUMAXIND,06-Sep-1995
LYKALABS,08-Feb-1995
IRFC,29-Jan-2021
RAMCOCEM,09-Apr-1997
INDIGOPNTS,02-Feb-2021
CHENNPETRO,07-Jun-2000
HOMEFIRST,03-Feb-2021
VTL,14-Jan-2003
MAHSCOOTER,08-Feb-1995
MAHSEAMLES,25-Aug-2004
MANGLMCEM,03-Jan-1996
STOVEKRAFT,05-Feb-2021
MARALOVER,08-Feb-1995
MASTEK,10-May-1995
MFSL,17-May-2000
BDL,23-Mar-2018
RAJMET,16-Feb-2021
AKG,16-Feb-2021
BOSCHLTD,12-May-2003
SUNDARMHLD,26-Mar-2018
GENCON,16-Feb-2021
MIRCELECTR,24-May-2004
PENINLAND,08-Feb-1995
MOREPENLAB,24-Nov-1999
BANDHANBNK,27-Mar-2018
MOTOGENFIN,08-Feb-1995
IRISDOREME,22-Feb-2021
MRF,18-Sep-1996
MRPL,07-Jan-2005
HLEGLAS,09-Feb-2023
MTNL,17-Feb-1999
HAL,28-Mar-2018
BESTAGRO,10-Apr-2024
MUNJALSHOW,12-May-2003
MURUDCERA,28-May-2004
HEIDELBERG,15-Mar-1995
NCC,14-Oct-2003
SMCGLOBAL,24-Feb-2021
CPSEETF,04-Apr-2014
JAYNECOIND,10-May-1995
NURECA,25-Feb-2021
KBCGLOBAL,02-Apr-2018
NAVNETEDUL,08-Feb-1995
NELCO,28-May-2003
SANDHAR,02-Apr-2018
NEULANDLAB,13-Oct-2008
PEL,08-Feb-1995
NILKAMAL,01-Nov-1995
RAILTEL,26-Feb-2021
CONSUMBEES,11-Apr-2014
NKIND,07-Jul-1995
NOCIL,17-Jan-1996
CENTRUM,04-Apr-2018
MIDHANI,04-Apr-2018
ONGC,19-Jul-1995
ONWARDTEC,07-Mar-2001
ISEC,04-Apr-2018
SILGO,03-Mar-2021
ORIENTHOT,27-Aug-1998
ORIENTPPR,29-Mar-1995
BCLIND,04-Mar-2021
OSWALAGRO,29-Mar-1995
PGHH,07-Jul-2004
HUHTAMAKI,01-Oct-2004
3PLAND,19-Jul-1995
AMJLAND,12-Apr-2000
LEMONTREE,09-Apr-2018
HERANBA,05-Mar-2021
SEAMECLTD,28-Jun-1995
IT,05-Mar-2021
DIVOPPBEES,23-Apr-2014
PFIZER,28-Apr-1999
PCBL,29-Mar-1995
PIDILITIND,29-Mar-1995
POLYPLEX,11-Apr-2003
PRAJIND,11-Oct-1995
PRAKASH,10-May-1995
MTARTECH,15-Mar-2021
PRECOT,19-Aug-2005
BUTTERFLY,28-Apr-2014
PRECWIRE,06-Sep-1995
PRSMJOHNSN,20-Aug-2003
JUBLINGREA,19-Mar-2021
EASEMYTRIP,19-Mar-2021
RSWM,15-Feb-1995
CHEMFAB,25-Apr-2018
RAJSREESUG,29-Mar-1995
RALLIS,01-Apr-1999
ANURAS,24-Mar-2021
RANASUG,24-Feb-2005
LXCHEM,25-Mar-2021
RANEHOLDIN,24-Sep-1997
CRAFTSMAN,25-Mar-2021
RCF,07-Jan-1998
HITECH,07-May-2018
RELIANCE,29-Nov-1995
RICOAUTO,12-May-2003
RIIL,29-Nov-1995
RUBYMILLS,29-Mar-1995
KALYANKJIL,26-Mar-2021
SAIL,06-Jul-1995
SAKHTISUG,06-Sep-1995
SURYODAY,26-Mar-2021
ORIENTELEC,14-May-2018
ORTINLAB,30-Mar-2021
NAZARA,30-Mar-2021
SANDESH,26-Nov-2002
SANGHIIND,10-May-1995
SUVIDHAA,31-Mar-2021
BSE500IETF,16-May-2018
WONDERLA,09-May-2014
KOHINOOR,20-Oct-1999
AXISTECETF,31-Mar-2021
SAURASHCEM,27-Feb-2024
SOTL,28-Jun-1995
SDL26BEES,31-Mar-2021
JINDALSAW,29-Apr-2003
SBIN,01-Mar-1995
SCI,13-Aug-1997
VEDL,13-May-1998
SESHAPAPER,29-Mar-1995
SHANTIGEAR,17-Jan-1996
INDOSTAR,21-May-2018
SHREDIGCEM,28-Jan-2020
SHREECEM,26-Apr-1995
SHREYANIND,06-Nov-1996
BARBEQUE,07-Apr-2021
SHREYAS,01-Mar-1995
HONDAPOWER,01-Apr-2003
BORORENEW,25-May-2018
SIEMENS,06-Sep-1995
GILT5YBEES,08-Apr-2021
SKFINDIA,27-Jan-1999
LODHA,19-Apr-2021
JTEKTINDIA,12-Jan-2004
SPIC,10-Jan-1996
SRF,18-Aug-2003
TEMBO,23-Apr-2021
STARPAPER,13-Sep-1995
DEEPINDS,27-Apr-2021
SPMLINFRA,14-Feb-1996
SUBROS,13-Jul-2005
SUDARSCHEM,25-May-1995
ISGEC,05-May-2021
SUNDARMFIN,07-Jan-1998
SUNDRMFAST,07-Jun-2000
SUNFLAG,29-Sep-2005
SUNPHARMA,08-Feb-1995
SUPERSPIN,08-Jul-2004
SUPREMEIND,19-Jul-1995
SURYAROSNI,10-May-1995
SWARAJENG,06-Dec-1995
SMLISUZU,29-Aug-2003
AGARIND,26-May-2014
AJOONI,07-May-2021
TATACHEM,01-Apr-1999
TATAELXSI,17-Sep-2003
HONAUT,18-Jul-2003
TATAPOWER,03-Apr-1996
TATACONSUM,18-Nov-1998
BBOX,22-Jul-2003
TATAMOTORS,22-Jul-1998
TFCILTD,26-Jul-2000
THERMAX,30-Aug-1995
THOMASCOOK,07-Jun-2000
CLSEL,12-May-2021
TIRUMALCHM,14-May-2003
TATASTEEL,18-Nov-1998
TITAN,24-Sep-2004
MAFANG,14-May-2021
TNPETRO,27-Oct-1999
TORNTPHARM,25-Nov-2002
AXISBPSETF,18-May-2021
TTKPRESTIG,22-Dec-1999
ADANIGREEN,18-Jun-2018
UCAL,13-Sep-1995
UNICHEMLAB,07-Feb-2001
UNIVCABLES,17-May-1995
AXISHCETF,21-May-2021
HEALTHIETF,25-May-2021
JUBLPHARMA,16-Jun-2003
VARDMNPOLY,12-May-2003
SOLARA,27-Jun-2018
VESUVIUS,04-Oct-2002
VINDHYATEL,08-Feb-1995
VIPIND,02-Mar-2005
VLSFINANCE,25-May-1995
VOLTAS,12-Apr-1995
TATACOMM,12-Apr-1995
VSTIND,05-Sep-2003
WALCHANNAG,18-Sep-1996
FINEORG,02-Jul-2018
VENKEYS,28-Jul-2003
RITES,02-Jul-2018
WHEELS,07-Apr-2000
WILLAMAGOR,08-Feb-1995
IWEL,11-Jun-2021
WIPRO,08-Nov-1995
WSTCSTPAPR,17-Jan-2001
VINEETLAB,15-Jun-2021
ZEEL,09-Sep-1998
ARIHANTCAP,15-Jun-2021
ZUARIIND,12-Apr-1995
BHARATRAS,11-Oct-1995
TOKYOPLAST,11-Oct-1995
VARROC,06-Jul-2018
SOMANYCERA,22-Nov-1995
HATSUN,20-Jun-2014
CAPLIPOINT,23-Jun-2014
PREMIERPOL,13-Dec-1995
KHAITANLTD,20-Dec-1995
NATCOPHARM,27-Dec-1995
GOCLCORP,26-Jun-2014
REMSONSIND,31-Jan-1996
TNPL,14-Feb-1996
GREENPLY,06-Mar-1996
CORALFINAC,25-Mar-1996
PVP,03-Apr-1996
NAVA,03-Apr-1996
JAYAGROGN,17-Apr-1996
PANACEABIO,17-Apr-1996
MARICO,01-May-1996
SILINV,22-May-1996
HBSL,23-Jul-2018
SAMBHAAV,05-Jun-1996
BIOFILCHEM,12-Jun-1996
NORBTEAEXP,26-Jun-1996
TCNSBRANDS,30-Jul-2018
SUNDRMBRAK,17-Jul-1996
SANGAMIND,17-Jul-1996
MOTHERSON,14-Aug-1996
VISAKAIND,28-Aug-1996
WENDT,07-Aug-2006
HDFCAMC,06-Aug-2018
DENORA,07-Aug-1997
STERTOOLS,02-Feb-2006
SHRIRAMFIN,11-Dec-1996
PUNJABCHEM,08-Mar-2007
SENSEXIETF,23-Jul-2014
GULFOILLUB,31-Jul-2014
MIRZAINT,28-Apr-1999
JAGSNPHARM,01-Mar-2000
CREDITACC,23-Aug-2018
INDIANCARD,08-Jan-1997
AARTIDRUGS,19-Sep-2003
ALKYLAMINE,26-Nov-2007
JCHAC,03-Jan-2000
MPHASIS,04-Jun-2004
SIGIND,29-Aug-2018
DYNAMATECH,14-Sep-2006
NEXT50IETF,30-Aug-2018
GUJRAFFIA,09-Oct-1996
RUCHINFRA,16-Oct-1996
RAMCOIND,06-Nov-1996
KOTHARIPET,02-Nov-1996
HERITGFOOD,27-Nov-1996
SBCL,24-Jun-2021
BANKBARODA,19-Feb-1997
SONACOMS,24-Jun-2021
SHYAMMETL,24-Jun-2021
GAIL,02-Apr-1997
SKMEGGPROD,14-Mar-1997
BANKINDIA,30-Apr-1997
INDNIPPON,07-May-1997
CONCOR,07-May-1997
INDRAMEDCO,17-Apr-1997
KCPSUGIND,11-Jun-1997
DODLA,28-Jun-2021
LIQUIDIETF,26-Sep-2018
SNOWMAN,12-Sep-2014
KIMS,28-Jun-2021
INDSWFTLAB,02-Jul-1997
SAREGAMA,30-Jul-1997
FDC,07-Aug-1997
ENGINERSIN,20-Aug-1997
MADRASFERT,25-Jul-1997
IPL,05-Jul-2021
ADROITINFO,13-Aug-1997
ICICIBANK,17-Sep-1997
PHARMABEES,07-Jul-2021
IRCON,28-Sep-2018
SHARDACROP,23-Sep-2014
SVPGLOB,14-Jul-2021
CLEAN,19-Jul-2021
GRINFRA,19-Jul-2021
SHEMAROO,01-Oct-2014
ZOMATO,23-Jul-2021
KPIGREEN,27-Jul-2021
SGIL,28-Jul-2021
CIGNITITEC,13-Oct-2014
JAICORPLTD,26-Nov-1997
TATVA,29-Jul-2021
SBIETFCON,29-Jul-2021
STYLAMIND,02-Aug-2021
ANTGRAPHIC,31-Dec-1997
GMDCLTD,17-Dec-1997
BFSI,05-Aug-2021
MAHAPEXLTD,21-Jan-1998
INDUSINDBK,28-Jan-1998
PDSL,21-Oct-2014
GLS,06-Aug-2021
ROLEXRINGS,09-Aug-2021
PRITIKAUTO,10-Aug-2021
FMCGIETF,10-Aug-2021
UGROCAP,11-Aug-2021
EXXARO,16-Aug-2021
KRSNAA,16-Aug-2021
WINDLAS,16-Aug-2021
DEVYANI,16-Aug-2021
